mission_name,cat,region,role,dip_name,suffix,id,url
Chinese Consulate-General in Almaty (Kazakhstan),consulate,Europe and Central Asia,Consul General,Jiang Wei,NA,t20090124_630294,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2502_665368/200901/t20090124_630294.html
Chinese Consulate-General in Yekaterinburg (Russia),consulate,Europe and Central Asia,Consul General,Cui Shaochun,NA,t20090205_630284,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2502_665368/200902/t20090205_630284.html
Chinese Consulate-General in Irkutsk (Russia),consulate,Europe and Central Asia,Consul General,Cao Yunlong,NA,t20090205_630293,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2502_665368/200902/t20090205_630293.html
Chinese Consulate-General in Gwangju (R. O. K.),consulate,Asia,Consul General,Zhang Chenggang,NA,t20090625_630220,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/200906/t20090625_630220.html
Chinese Consulate-General in Sarabaya (Indonesia),consulate,Asia,Consul General,Gu Jingqi,NA,t20090716_630248,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/200907/t20090716_630248.html
Chinese Embassy in Montenegro,embassy,Europe,Ambassador,Liu Jin,NA,t20091030_630109,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200910/t20091030_630109.html
Office of the People's Republic of China to the State of Palestine,embassy,Western Asia and North Africa,Director,Guo Wei,Ambassador Grade,t20091216_629943,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348/200912/t20091216_629943.html
Chinese Consulate-General in Lyon (France),consulate,Europe,Consul General,Lu Qingjiang,NA,t20091216_630330,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/200912/t20091216_630330.html
Chinese Consulate-General in Saint-Denis (France),consulate,Europe,Consul General,Chen Zhihong,NA,t20100608_630327,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/201006/t20100608_630327.html
Chinese Consulate-General in Papeete (France),consulate,Europe,Consul,Shen Zhiliang,NA,t20100608_630328,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/201006/t20100608_630328.html
Chinese Consulate-General in Niigata (Japan),consulate,Asia,CONSUL GENERAL,Sun Dagang,NA,t20100716_630242,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/201007/t20100716_630242.html
Office of Commercial Development of China in Haiti,international_organizations,global,Permanent Representative,Wang Xiangyang,NA,t20110527_600639,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2506_665376/201105/t20110527_600639.html
