mission_name,cat,region,role,dip_name,suffix,id,url
Permanent Missions to the Organization For the Prohibition of Chemical Weapons,international_organizations,global,Permanent Reprensentative,Ambassador Tan Jian,NA,t20001115_600637,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2506_665376/200011/t20001115_600637.html
Chinese Consulate-General in Firenze(Italy),consulate,Europe,Consul General,Wang Wengang,NA,t20020306_630317,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/200203/t20020306_630317.html
Chinese Consulate-General in Podgorica (Serbia and Montenegro),consulate,Europe,Consul General,Li Manchang,NA,t20020312_630311,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/200203/t20020312_630311.html
Permanent Mission to the World Trade Organization(WTO)in Switzerland,international_organizations,global,Permanent Reprensentative,Ambassador Yu Jianhua,NA,t20020314_600623,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2506_665376/200203/t20020314_600623.html
Chinese Consulate-General in Constanta(Temporarily Closed),consulate,Europe,NA,NA,NA,t20020320_630298,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/200203/t20020320_630298.html
Chinese Consulate-General in Strasbourg (France),consulate,Europe,Consul General,Ling Jun,NA,t20020321_630325,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/200203/t20020321_630325.html
Chinese Embassy in Panama,embassy,North America and Oceania,Ambassador,Wei Qiang,NA,t20040407_630157,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2496_665356/200404/t20040407_630157.html
Chinese Embassy in Lithuania,embassy,Europe,Ambassador,Shen Zhifei,NA,t20050302_630114,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200503/t20050302_630114.html
Chinese Embassy in Belgium,embassy,Europe,Ambassador,Cao Zhongming,NA,t20050508_630145,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200505/t20050508_630145.html
Chinese Embassy in Thailand,embassy,Asia,Ambassador,Lyu Jian,NA,t20050527_629906,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346/200505/t20050527_629906.html
Chinese Embassy in Japan,embassy,Asia,Ambassador,Kong Xuanyou,NA,t20050527_629926,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346/200505/t20050527_629926.html
Chinese Consulate-General in Chiangmai (Thailand),consulate,Asia,Consul General,Wu Zhiwu,NA,t20050527_630215,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/200505/t20050527_630215.html
Chinese Embassy in Kuwait,embassy,Western Asia and North Africa,Ambassador,Li Minggang,NA,t20050530_629971,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348/200505/t20050530_629971.html
Chinese Consulate-General in Jeddah (Saudi Arabia),consulate,Western Asia and North Africa,Consul General,Tan Banglin,NA,t20050530_630265,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2500_665364/200505/t20050530_630265.html
Chinese Consulate-General in Alexandria (Egypt),consulate,Western Asia and North Africa,Consul General,Zhao Liying,NA,t20050530_630267,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2500_665364/200505/t20050530_630267.html
Chinese Embassy in Niger,embassy,Africa,Ambassador,Zhang Lijun,NA,t20050601_630009,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200506/t20050601_630009.html
Chinese Embassy in Lesotho,embassy,Africa,Ambassador,Lei Kezhong,NA,t20050601_630020,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200506/t20050601_630020.html
Chinese Embassy in Ethiopia,embassy,Africa,Ambassador,Zhao Zhiyuan,NA,t20050601_630034,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200506/t20050601_630034.html
Chinese Embassy in Angola,embassy,Africa,Ambassador,Gong Tao,NA,t20050601_630061,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200506/t20050601_630061.html
Chinese Embassy in Switzerland,embassy,Europe,Ambassador,Wang Shiting,NA,t20050601_630087,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200506/t20050601_630087.html
Chinese Embassy in Spain,embassy,Europe,Ambassador,Wu Haitao,Concurrently Ambassador to Andorra,t20050601_630091,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200506/t20050601_630091.html
Chinese Embassy in the Netherlands,embassy,Europe,Ambassador,Tan Jian,NA,t20050601_630107,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200506/t20050601_630107.html
Chinese Consulate-General in Manchester (United Kingdom),consulate,Europe,Consul General,Zheng Xiyuan,NA,t20050601_630301,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/200506/t20050601_630301.html
Chinese Embassy in Turkmenistan,embassy,Europe and Central Asia,Ambassador,Qian Naicheng,NA,t20050603_630066,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2494_665352/200506/t20050603_630066.html
Chinese Embassy in Russia,embassy,Europe and Central Asia,Ambassador,Zhang Hanhui,NA,t20050603_630070,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2494_665352/200506/t20050603_630070.html
Chinese Embassy in Kyrghyz,embassy,Europe and Central Asia,Ambassador,Du Dewen,NA,t20050603_630074,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2494_665352/200506/t20050603_630074.html
Chinese Embassy in Georgia,embassy,Europe and Central Asia,Ambassador,Li Yan,NA,t20050603_630077,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2494_665352/200506/t20050603_630077.html
Chinese Consulate-General in Khabarovsk (Russia),consulate,Europe and Central Asia,Consul General,Cui Guojie,NA,t20050603_630289,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2502_665368/200506/t20050603_630289.html
Chinese Embassy in the United States of America,embassy,North America and Oceania,Ambassador,Qin Gang,NA,t20050606_630151,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2496_665356/200506/t20050606_630151.html
Chinese Care-Taking Group in Kiribati,embassy,North America and Oceania,NA,NA,NA,t20050606_630162,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2496_665356/200506/t20050606_630162.html
Chinese Embassy in Fiji,embassy,North America and Oceania,Ambassador,Qian Bo,NA,t20050606_630163,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2496_665356/200506/t20050606_630163.html
Chinese Embassy in Canada,embassy,North America and Oceania,Ambassador,Cong Peiwu,NA,t20050606_630165,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2496_665356/200506/t20050606_630165.html
Chinese Consulate-General in Auckland (New Zealand),consulate,North America and Oceania,Consul General,Ruan Ping,NA,t20050606_630336,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2504_665372/200506/t20050606_630336.html
Chinese Consulate-General in Vancouver (Canada),consulate,North America and Oceania,Consul General,Tong Xiaoling,NA,t20050606_630338,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2504_665372/200506/t20050606_630338.html
Chinese Consulate-General in Toronto(Canada),consulate,North America and Oceania,Consul General,Han Tao,NA,t20050606_630339,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2504_665372/200506/t20050606_630339.html
Chinese Consulate-General in Sydney (Australia),consulate,North America and Oceania,Consul General,Zhou Limin,NA,t20050606_630345,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2504_665372/200506/t20050606_630345.html
Chinese Consulate-General in Los Angeles (America),consulate,North America and Oceania,Consul General,Zhang Ping,NA,t20050606_630357,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2504_665372/200506/t20050606_630357.html
Chinese Consulate in Barranquilla(Colombia),consulate,Latin America,Consul General,Wang Huijun,NA,t20050606_630366,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2505_665374/200506/t20050606_630366.html
Chinese Consulate-General in Pusan (R. O. K.),consulate,Asia,Consul General,Guo Peng,NA,t20050608_630217,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/200506/t20050608_630217.html
Chinese Consulate-General in Chongjin (D. P. R. K.),consulate,Asia,Consul General,Zhang Daxing,NA,t20050608_630257,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/200506/t20050608_630257.html
Chinese Consulate-General in Munich(Germany),consulate,Europe,Consulate General,Tong Defa,NA,t20050608_630318,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/200506/t20050608_630318.html
Chinese Consulate-General in Aden-Yemen (Yemen),consulate,Western Asia and North Africa,Consul General,Pan Zhinan,NA,t20050921_630258,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2500_665364/200509/t20050921_630258.html
Chinese Embassy in Tunisian,embassy,Western Asia and North Africa,Ambassador,Zhang Jianguo,NA,t20050929_629950,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348/200509/t20050929_629950.html
Chinese Embassy in R.O.K.(the Republic of Korea),embassy,Asia,Ambassador,Xing Haiming,NA,t20051011_629912,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346/200510/t20051011_629912.html
Chinese Embassy in Benin,embassy,Africa,Ambassador,Peng Jingtao,NA,t20051028_630059,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200510/t20051028_630059.html
Chinese Consulate-General in Cape Town (South Africa),consulate,Africa,Consul General,Lin Jing,NA,t20051028_630275,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2501_665366/200510/t20051028_630275.html
Chinese Embassy in Myanmar,embassy,Asia,Ambassador,Chen Hai,NA,t20051115_629917,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346/200511/t20051115_629917.html
Chinese Embassy in Comores,embassy,Africa,Ambassador,He Yanjun,NA,t20051115_630047,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200511/t20051115_630047.html
Chinese Embassy in Uzbekistan,embassy,Europe and Central Asia,Ambassador,Jiang Yan,NA,t20051115_630063,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2494_665352/200511/t20051115_630063.html
Chinese Embassy in Cuba,embassy,Latin America,Ambassador,Chen Xi,NA,t20051115_630191,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2497_665358/200511/t20051115_630191.html
Chinese Embassy in Belarus,embassy,Europe and Central Asia,Ambassador,Xie Xiaoyong,NA,t20051116_630079,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2494_665352/200511/t20051116_630079.html
Chinese Embassy in Sierra Leone,embassy,Africa,Ambassador,Hu Zhangliang,NA,t20051123_629998,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200511/t20051123_629998.html
Chinese Embassy in  New Zealand,embassy,North America and Oceania,Ambassador,Wu Xi,NA,t20051208_630158,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2496_665356/200512/t20051208_630158.html
Chinese Embassy in Moldova,embassy,Europe and Central Asia,Ambassador,Zhang Yinghong,NA,t20051209_630072,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2494_665352/200512/t20051209_630072.html
Chinese Consulate-General in Calgary(Canada),consulate,North America and Oceania,Consul General,Lu Xu,NA,t20051212_630343,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2504_665372/200512/t20051212_630343.html
Chinese Embassy in Iceland,embassy,Europe,Ambassador,Jin Zhijian,NA,t20051220_630121,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200512/t20051220_630121.html
Permanent Mission to the International Sea Bed Authority,international_organizations,global,Permanent Representative,Ambassador Dong Xiaojun,NA,t20051221_600625,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2506_665376/200512/t20051221_600625.html
Office of the People's Republic of China to the Palestinian National Authority,international_organizations,global,Director,Yang Weiguo,NA,t20060104_600635,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2506_665376/200601/t20060104_600635.html
Chinese Embassy in Azerbaijan,embassy,Europe and Central Asia,Ambassador,Guo Min,NA,t20060106_630081,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2494_665352/200601/t20060106_630081.html
Chinese Embassy in Tonga,embassy,North America and Oceania,Ambassador,Cao Xiaolin,NA,t20060106_630152,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2496_665356/200601/t20060106_630152.html
Chinese Consulate-General in Hamburg(Germany),consulate,Europe,Consul General,Du Xiaohui,NA,t20060106_630320,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/200601/t20060106_630320.html
Chinese Consulate-General in Dubai (United Arab Emirates),consulate,Western Asia and North Africa,Consul General,Li Xuhang,NA,t20060111_630260,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2500_665364/200601/t20060111_630260.html
Chinese Embassy in Cambodia,embassy,Asia,Ambassador,Wang Wentian,NA,t20060205_629936,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346/200602/t20060205_629936.html
Chinese Embassy in East Timor,embassy,Asia,Ambassador,Xiao Jianguo,NA,t20060320_629932,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346/200603/t20060320_629932.html
Chinese Embassy in Yemen,embassy,Western Asia and North Africa,Ambassador,Kang Yong,NA,t20060320_629945,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348/200603/t20060320_629945.html
Chinese Embassy in Mauritius,embassy,Africa,Ambassador,Sun Gongyi,NA,t20060320_630014,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200603/t20060320_630014.html
Chinese Embassy in Eritrea,embassy,Africa,Ambassador,Cai Ge,NA,t20060320_630036,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200603/t20060320_630036.html
Chinese Embassy in Denmark,embassy,Europe,Ambassador,Feng Tie,NA,t20060320_630134,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200603/t20060320_630134.html
Chinese Embassy in  Papua New Guinea,embassy,North America and Oceania,Ambassador,Xue Bing,NA,t20060320_630156,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2496_665356/200603/t20060320_630156.html
Chinese Embassy in Bolivia,embassy,Latin America,Ambassador,Huang Yazhong,NA,t20060320_630199,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2497_665358/200603/t20060320_630199.html
Chinese Embassy in Vietnam,embassy,Asia,Ambassador,Xiong Bo,NA,t20060327_629903,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346/200603/t20060327_629903.html
Chinese Embassy in Estonia,embassy,Europe,Ambassador,Li Chao,NA,t20060417_630132,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200604/t20060417_630132.html
Chinese Consulate-General in Istanbul (Turkey),consulate,Western Asia and North Africa,Consul General,Cui Wei,NA,t20060418_630262,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2500_665364/200604/t20060418_630262.html
Chinese Consulate-General in Milano(Italy),consulate,Europe,Consul General,Song Xuefeng,NA,t20060418_630315,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/200604/t20060418_630315.html
Chinese Consulate-General in Melbourne (Australia),consulate,North America and Oceania,Consul General,Long Zhou,NA,t20060424_630348,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2504_665372/200604/t20060424_630348.html
Chinese Consulate-General in Osaka (Japan),consulate,Asia,Consul General,He Zhenliang,NA,t20060605_630240,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/200606/t20060605_630240.html
Chinese Embassy in Brazil,embassy,Latin America,Ambassador,Yang Wanming,NA,t20060609_630198,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2497_665358/200606/t20060609_630198.html
Permanent Mission of the People's Republic of China to the United Nations,international_organizations,global,Permanent Representative to the UN,Ambassador Zhang Jun,NA,t20060711_600626,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2506_665376/200607/t20060711_600626.html
Permanent Mission to the United Nations and Other International Organizations in Vienna,international_organizations,global,Permanent Reprensentative,Wang Qun,NA,t20060711_600628,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2506_665376/200607/t20060711_600628.html
Chinese Embassy in Finland,embassy,Europe,Ambassador,Chen Li,NA,t20060711_630130,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200607/t20060711_630130.html
Chinese Embassy in Czech,embassy,Europe,Ambassador,Zhang Jianmin,NA,t20060711_630135,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200607/t20060711_630135.html
Chinese Embassy in Samoa,embassy,North America and Oceania,Ambassador,Chao Xiaoliang,NA,t20060711_630154,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2496_665356/200607/t20060711_630154.html
Chinese Embassy in Indonesia,embassy,Asia,Ambassador,Xiao qian,NA,t20060713_629928,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346/200607/t20060713_629928.html
Chinese Consulate-General in Karachi (Pakistan),consulate,Asia,Consul General,Li Bijian,NA,t20060807_630228,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/200608/t20060807_630228.html
Chinese Embassy in Gabon,embassy,Africa,Ambassador,Hu Changchun,NA,t20060830_630032,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200608/t20060830_630032.html
Chinese Consulate-General in Santa Cruz (Bolivia),consulate,Latin America,Consul General,Wang Jialei,NA,t20060905_630374,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2505_665374/200609/t20060905_630374.html
Chinese Embassy in Jordan,embassy,Western Asia and North Africa,Ambassador,Chen Chuandong,NA,t20060915_629973,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348/200609/t20060915_629973.html
Chinese Embassy in Kenya,embassy,Africa,Ambassador,Zhou Pingjian,NA,t20060915_630024,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200609/t20060915_630024.html
Chinese Embassy in  Portugal,embassy,Europe,Ambassador,Cai Run,NA,t20060915_630100,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200609/t20060915_630100.html
Chinese Embassy in Jamaica,embassy,Latin America,Ambassador,Tian Qi,NA,t20060915_630181,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2497_665358/200609/t20060915_630181.html
Chinese Embassy in Barbados,embassy,Latin America,Ambassador,Yan Xiusheng,NA,t20060930_630201,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2497_665358/200609/t20060930_630201.html
Chinese Consulate-General in Gothenburg(Sweden),consulate,Europe,Consul General,Gu Hui,NA,t20061025_630305,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/200610/t20061025_630305.html
Chinese Embassy in Malaysia,embassy,Asia,Ambassador,Ouyang Yujing,NA,t20061116_629923,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346/200611/t20061116_629923.html
Chinese Embassy in the United Arab Emirates,embassy,Western Asia and North Africa,Ambassador,Ni Jian,NA,t20061116_629946,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348/200611/t20061116_629946.html
Chinese Embassy in Oman,embassy,Western Asia and North Africa,Ambassador,Li Lingbing,NA,t20061116_629961,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348/200611/t20061116_629961.html
Chinese Embassy in Micronesia,embassy,North America and Oceania,Ambassador,Huang Zheng,NA,t20061116_630160,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2496_665356/200611/t20061116_630160.html
Chinese Embassy in Dominica,embassy,Latin America,Ambassador,Lin Xianjiang,NA,t20061116_630190,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2497_665358/200611/t20061116_630190.html
Chinese Embassy in Trinidad and Tobago,embassy,Latin America,Ambassador,Fang Qiu,NA,t20061215_630172,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2497_665358/200612/t20061215_630172.html
Chinese Embassy in Suriname,embassy,Latin America,Ambassador,Liu Quan,NA,t20061215_630174,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2497_665358/200612/t20061215_630174.html
Chinese Embassy in  Grenada,embassy,Latin America,Ambassador,Wei Hongtian,NA,t20061215_630184,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2497_665358/200612/t20061215_630184.html
Chinese Embassy in Sri Lanka,embassy,Asia,Ambassador,Qi Zhenhong,NA,t20061218_629908,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346/200612/t20061218_629908.html
Chinese Embassy in Turkey,embassy,Western Asia and North Africa,Ambassador,Liu Shaobin,NA,t20061218_629948,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348/200612/t20061218_629948.html
Chinese Embassy in Morocco,embassy,Western Asia and North Africa,Ambassador,Li Li,NA,t20061218_629963,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348/200612/t20061218_629963.html
Chinese Embassy in Guyana,embassy,Latin America,Ambassador,Guo Haiyan,NA,t20061218_630183,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2497_665358/200612/t20061218_630183.html
Chinese Embassy in Seychelles,embassy,Africa,Ambassador,Guo Wei,NA,t20061228_629999,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200612/t20061228_629999.html
Chinese Embassy in D.P.R.K.(the Democratic People's Republic of Korea),embassy,Asia,Ambassador,Li Jinjun,NA,t20070118_629934,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346/200701/t20070118_629934.html
Chinese Embassy in Latvia,embassy,Europe,Ambassador,Liang Jianquan,NA,t20070214_630116,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200702/t20070214_630116.html
Chinese Embassy in Libyan,embassy,Western Asia and North Africa,Ambassador,Li Zhiguo,NA,t20070216_629967,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348/200702/t20070216_629967.html
Chinese Embassy in Serbia,embassy,Europe,Ambassador,Chen Bo,NA,t20070225_630096,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200702/t20070225_630096.html
Chinese Embassy in Iraq,embassy,Western Asia and North Africa,Ambassador,Zhang Tao,NA,t20070227_629976,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348/200702/t20070227_629976.html
Chinese Embassy in Guinea-Bissau,embassy,Africa,Ambassador,Guo Ce,NA,t20070227_630025,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200702/t20070227_630025.html
Chinese Embassy in Burundi,embassy,Africa,Ambassador,Li Changlin,NA,t20070227_630056,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200702/t20070227_630056.html
Chinese Embassy in Bosnia and Herzegovina,embassy,Europe,Ambassador,Ji Ping,NA,t20070227_630143,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200702/t20070227_630143.html
Chinese Embassy in Peru,embassy,Latin America,Ambassador,Liang Yu,NA,t20070227_630177,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2497_665358/200702/t20070227_630177.html
Chinese Consulate-General in St.petersburg(Russia),consulate,Europe and Central Asia,Consul General,Wang Wenli,NA,t20070304_630288,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2502_665368/200703/t20070304_630288.html
Chinese Embassy in Pakistan,embassy,Asia,Ambassador,Nong Rong,NA,t20070313_629914,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346/200703/t20070313_629914.html
Chinese Embassy in Lao,embassy,Asia,Ambassador,Jiang Zaidong,NA,t20070313_629925,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346/200703/t20070313_629925.html
Chinese Embassy in Brunei,embassy,Asia,Ambassador,Yu Hong,NA,t20070313_629938,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346/200703/t20070313_629938.html
Chinese Embassy in Afghanistan,embassy,Asia,Ambassador,Wang Yu,NA,t20070313_629942,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346/200703/t20070313_629942.html
Chinese Embassy in Lebanon,embassy,Western Asia and North Africa,Ambassador,Wang Kejian,NA,t20070313_629969,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348/200703/t20070313_629969.html
Chinese Embassy in Algeria,embassy,Western Asia and North Africa,Ambassador,Li Lianhe,NA,t20070313_629983,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348/200703/t20070313_629983.html
Chinese Embassy in Ukraine,embassy,Europe and Central Asia,Ambassador,Fan Xianrong,NA,t20070313_630065,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2494_665352/200703/t20070313_630065.html
