user_id,name,username,created_at,description,entities,location,profile_image_url,protected,followers_count,following_count,tweet_count,listed_count,like_count,url,verified,withheld,deleted,date_scraped
355913325,RussianEmbassyBrunei,RusEmbBrunei,2011-08-16T02:24:37Z,Official twitter account of the Embassy of the Russian Federation in Brunei Darussalam,,Brunei Darussalam,https://pbs.twimg.com/profile_images/1775099782266281984/MCQg8IOr_normal.jpg,,5001,386,9314,123,1681,https://t.co/O58F43b09D,,NA,FALSE,2024-04-15
1319908188,Посольство России в Болгарии,RusEmbBul,2013-04-01T08:35:13Z,"🇷🇺 Официальный твиттер Посольства Российской Федерации в Республике Болгарии 
🇧🇬 Официален туитър на Посолството на Руската Федерация в Република България",,"София, България",https://pbs.twimg.com/profile_images/1197817134107254784/XJOBHFAD_normal.jpg,,2741,523,4467,80,813,https://t.co/im4myl1VxS,,NA,FALSE,2024-04-15
844212969789685760,ГК РФ в Русе,RusCons_Ruse,2017-03-21T15:43:51Z,"Официальный твиттер Генконсульства России в Русе, Республика Болгария / Официален туитър на Генералното консулство на Руската федерация в Република България",,"Русе, Болгария",https://pbs.twimg.com/profile_images/1197803795801104385/uRYKBrzP_normal.jpg,,932,511,584,28,1242,https://t.co/7BeuwoQ3zU,,NA,FALSE,2024-04-15
1422466526846857242,ГК России в Варне,RusConsVarna,2021-08-03T07:57:45Z,"Официальный твиттер Генерального консульства России в Варне, Болгария/ Официален туитър на Генералното консулство на Русия във Варна, България https://t.co/GFNmXrWozW",,Bulgaria,https://pbs.twimg.com/profile_images/1422466953088806923/FKtr8dWv_normal.jpg,,180,22,193,10,29,https://t.co/y1F9gZpKOW,,NA,FALSE,2024-04-15
350820357,Amb Russe au Burundi,ambrusburundi,2011-08-08T10:54:16Z,Посольство России в Бурунди Ambassade de Russie au Burundi,,Burundi,https://pbs.twimg.com/profile_images/1655144223446802432/weyNmWUI_normal.jpg,,2549,168,746,73,225,https://t.co/7C73YXD5nx,,NA,FALSE,2024-04-15
1168964126,"Russian Embassy, KHM",CamboRusEmba,2013-02-11T13:50:15Z,Оfficial twitter-account of the Embassy of the Russian Federation in the Kingdom of Cambodia,,"Phnom Penh, Cambodia",https://pbs.twimg.com/profile_images/1773918487897092096/lLdjPP2h_normal.jpg,,6258,521,13504,125,1577,https://t.co/C40E2AJDtF,,NA,FALSE,2024-04-15
1300637070499524608,Anatoly Borovik,RusAmbCambodia,2020-09-01T03:30:54Z,Official Twitter Account of the Ambassador of the Russian Federation 🇷🇺 to the Kingdom of Cambodia 🇰🇭,,Phnom Penh,https://pbs.twimg.com/profile_images/1654062368752816131/cExqBkIu_normal.jpg,,1531,33,1544,41,30,https://t.co/VX2aU6BFFM,,NA,FALSE,2024-04-15
2940943106,Консульский отдел Посольства России в Камбодже,ConsularCamb,2014-12-23T15:50:19Z,Консульский отдел Посольства Российской Федерации в Королевстве Камбоджа / Consular Section of the Embassy of the Russian Federation in the Kingdom of Cambodia,,Cambodia,https://pbs.twimg.com/profile_images/1774021666097799168/Vkp6940Y_normal.jpg,,1826,353,399,38,520,https://t.co/EcKkLtIk9m,,NA,FALSE,2024-04-15
475954041,Russia in Canada,RussianEmbassyC,2012-01-27T16:24:55Z,"The Official Account of the Embassy of the Russian Federation in Canada / Официальная страница Посольства Российской Федерации в Канаде

https://t.co/CbjQuVpIXa",,"285 Charlotte Street, Ottawa, ",https://pbs.twimg.com/profile_images/1658219564243582979/hma0uI5u_normal.jpg,,43902,1387,56627,644,11162,https://t.co/bB8CHtV4bl,,NA,FALSE,2024-04-15
1017854690132987904,Consulate General of Russia in Toronto,Russia_Toronto,2018-07-13T19:34:03Z,The Official Twitter Account of the Consulate General of the Russian Federation in Toronto / Официальная Твиттер страница Генконсульства России в Торонто,,"60 St. Clair Ave. East, 5th Floor, Toronto, ON, Canada, M4T 1N5",https://pbs.twimg.com/profile_images/1658172521617711124/MkjBLkiF_normal.jpg,,1395,348,5660,44,1373,https://t.co/R2kf3MeGUC,,NA,FALSE,2024-04-15
981880420747894784,Посольство России в Кабо-Верде,embruscv,2018-04-05T13:05:09Z,,,"Кабо-Верде, г. Прая",https://pbs.twimg.com/profile_images/1217758915200475136/1Ny-o355_normal.jpg,,622,61,114,29,173,https://t.co/KDrQ7aNB41,,NA,FALSE,2024-04-15
1118078866877239296,Ambassade de Russie au Tchad,amrustd,2019-04-16T09:09:09Z,"Официальный твиттер-аккаунт Посольства России в Чаде
Page officiel de l’Ambassade de Russie au Tchad",,Chad,https://pbs.twimg.com/profile_images/1655203543589040133/UUiNN5Y2_normal.jpg,,1236,199,389,42,631,https://t.co/19PAT7UHuX,,NA,FALSE,2024-04-15
370744265,Embajada de Rusia en Chile,EmbRusChile,2011-09-09T15:15:39Z,"⏩Telegram https://t.co/BNcTiFNbxJ 
⏩https://t.co/Jvaz8yHiqU    
⏩ FB: https://t.co/qGIgJ5RncK",,"Santiago, Chile",https://pbs.twimg.com/profile_images/1773456641427394560/QuTqCbBv_normal.jpg,,3550,100,2670,71,1254,https://t.co/yR78iKfZU9,,NA,FALSE,2024-04-15
4104072592,Посольство в Китае / Russian Embassy in China,Rusembchina,2015-11-03T10:50:58Z,🇷🇺🇨🇳Добро пожаловать на официальную страницу Посольства России в Китае! Welcome to the official page of the Embassy of Russia in China!,,Пекин,https://pbs.twimg.com/profile_images/1306441739918626816/JfdLgamk_normal.jpg,,2982,349,889,69,8,https://t.co/mq85XlZRDz,,NA,FALSE,2024-04-15
1394939798339694601,Генконсульство в Харбине,rusconsulharbin,2021-05-19T08:56:01Z,Добро пожаловать на официальную страницу Генерального консульства Российской Федерации в Харбине!,,Harbin,https://pbs.twimg.com/profile_images/1394940214028689408/ToL6eue9_normal.jpg,,378,24,167,15,97,https://t.co/4uL6hbSrUi,,NA,FALSE,2024-04-15
